연도,시도,행정구,교육청,도서관명,주소,전화번호,설립일,대지,연면적(㎡),건물동수,시청각실,장서수,열람석,연간이용자수,연간이용책수,,연간순회문고이용책수,이동도서관 현황,,,자료수,,,,도서현황,,,,,,,,,,,,,,예산액(단위:원)
2017,서울,구로구,서울시,서울특별시교육청구로도서관,서울특별시 구로구 공원로 15 (구로동),02-6958-2800,19841008,"1,738","2,538",3,1,"144,928",435,"841,863","971,504","280,807",800,0,0,0,"136,451","8,477",512,"2,575","132,746",835,"2,870","6,432","5,538","2,899","24,852","6,661","12,488","6,144","6,194","54,069","11,174",0,"402,845,000"
2017,서울,동작구,서울시,동작도서관,서울특별시 동작구 장승배기로 94 (노량진동),02-823-6417,19910506,"1,721","1,974",1,1,"161,527",504,"844,256","1,186,497","404,883",0,0,0,0,"154,267","7,260",506,"13,125","150,191",274,"3,802","6,154","7,387","5,049","27,434","9,037","11,457","8,075","8,433","57,521","13,720",0,"389,241,000"
2017,서울,용산구,서울시,서울특별시교육청남산도서관,서울특별시 용산구 소월로 109 (후암동),02-754-7338,19221005,"13,316","9,329",1,1,"514,581",429,"1,233,637","1,395,735","277,520","10,850",0,0,0,"498,802","15,779",868,"17,156","415,081","68,804","14,917","27,159","24,906","17,118","114,722","19,361","57,987","30,469","19,743","143,747","43,590",0,"999,690,000"
2017,부산,부산진구,부산시,부산광역시립부전도서관,부산광역시 부산진구 동천로 79 (부전동),051-802-5901,19820408,"4,112","2,704",1,0,"298,377",445,"1,159,228","1,421,815","359,728",0,0,0,0,"286,027","12,350",303,"12,170","283,539",470,"2,018","12,884","15,709","9,652","54,125","12,687","25,014","16,011","11,330","101,620","26,995",0,"671,213,000"
2017,부산,부산진구,부산시,부산광역시립시민도서관,부산광역시 부산진구 월드컵대로 462 (초읍동.부산광역시립시민도서관),051-810-8200,19011010,"11,443","12,558",1,1,"792,607","1,560","1,834,461","2,829,112","679,968",0,0,0,0,"728,620","63,987","48,005","26,689","686,428","26,679","15,513","49,724","41,330","24,093","154,904","32,204","79,995","40,205","25,054","222,388","58,723",0,"2,718,546,000"
2017,부산,중구,부산시,부산광역시립중앙도서관,부산광역시 중구 망양로 193번길 . 146 (보수동1가),051-250-0305,19890817,"23,811","8,707",6,2,"467,619","1,578","1,181,727","1,219,019","472,688","2,506",0,0,0,"434,249","33,370",585,"22,359","432,662",137,"1,450","16,524","21,076","14,039","75,756","22,800","35,928","26,226","18,718","165,505","37,677",0,"1,423,072,000"
2017,부산,해운대구,부산시,부산광역시립반송도서관,부산광역시 해운대구 아랫반송로 22 . (반송동.부산광역시립반송도서관),051-545-0102,19780106,"1,011","1,802",1,1,"193,093",339,"393,072","297,669","101,005",0,0,0,0,"179,350","13,743",313,"8,212","179,350",0,0,"6,615","10,410","5,959","31,642","8,276","14,372","9,883","6,047","65,183","20,963",0,"423,309,000"
2017,부산,해운대구,부산시,부산광역시립해운대도서관,부산광역시 해운대구 양운로 183 (좌동),051-709-0900,19810807,"6,572","10,052",2,1,"341,579","1,210","2,046,430","2,107,927","621,865",0,0,0,0,"320,799","20,780",768,"19,374","290,809","4,261","25,729","9,935","18,482","11,332","54,019","17,846","23,666","14,942","15,091","126,508","28,978",0,"1,600,501,000"
2017,부산,사하구,부산시,부산광역시립사하도서관,부산광역시 사하구 승학로 247 (괴정동. 부산광역시립사하도서관),051-203-0373,19840705,"4,302","1,716",2,1,"168,053",314,"401,875","405,160","169,311",0,0,0,0,"156,378","11,675",645,"8,469","153,435",270,"2,673","6,765","8,741","5,099","28,907","7,613","13,313","7,882","9,042","56,109","12,907",0,"423,767,000"
2017,부산,금정구,부산시,부산광역시립서동도서관,부산광역시 금정구 서부로76번길 5 . 부산광역시립서동도서관 (서동),051-522-0456,19830106,"1,878","1,071",2,1,"148,864",231,"256,372","318,386","109,463",0,0,0,0,"140,393","8,471",313,"10,178","140,365",21,7,"5,819","8,441","4,065","25,976","7,406","14,153","8,017","4,584","48,547","13,385",0,"438,900,000"
2017,부산,북구,부산시,부산광역시립구포도서관,부산광역시 북구 백양대로1016번다길 43 (구포동),051-330-6300,19830719,"9,737","7,402",1,1,"317,324","1,543","1,201,696","1,029,161","400,162","2,602",0,0,0,"287,570","29,754",613,861,"282,240",0,"5,330","12,499","17,597","10,568","52,881","14,584","22,998","12,842","13,372","106,145","24,084",0,"1,072,215,000"
2017,부산,동래구,부산시,부산광역시립명장도서관,부산광역시 동래구 명안로46번길 35 부산광역시립명장도서관 (명장1동 611-4번지),051-527-0582,19940125,827,"1,699",1,0,"204,752",281,"368,040","424,368","130,315",286,0,0,0,"187,268","17,484",409,"9,553","186,128",12,"1,128","6,856","10,934","5,943","33,614","9,446","17,147","11,401","7,083","66,817","18,027",0,"437,956,000"
2017,부산,연제구,부산시,부산광역시립연산도서관,부산광역시 연제구 고분로191번길 16 . 부산광역시립연산도서관 (연산동),051-792-5400,19860927,"1,527","1,370",1,0,"165,936",330,"321,413","363,921","172,322",0,0,0,0,"155,813","10,123",489,"8,483","155,118",695,0,"7,169","9,330","5,278","29,238","9,664","13,416","8,202","5,751","54,158","13,607",0,"449,490,000"
2017,부산,서구,부산시,부산광역시립구덕도서관,부산광역시 서구 대신공원로 41 (서대신동3가),051-220-3800,19780116,"1,850","1,314",2,1,"149,057",282,"436,909","470,021","153,415",1,0,0,0,"144,281","4,776",67,"9,043","144,281",0,0,"4,555","9,546","5,212","26,531","7,119","13,930","6,693","5,326","52,567","12,802",0,"865,441,000"
2017,대구,수성구,대구시,대구광역시립수성도서관,대구광역시 수성구 만촌로 151 (만촌동),053-231-2500,19881220,"3,840","5,827",2,1,"345,358","1,031","771,539","773,664","323,889",0,0,0,0,"276,535","68,823",411,"76,576","272,535","1,494","2,506","10,000","14,742","8,372","37,114","13,883","19,379","15,232","14,037","119,108","24,668",0,"559,800,000"
2017,대구,달성군,대구시,대구광역시립달성도서관,대구광역시 달성군 현풍면 현풍동로19길 26 총무실,053-231-2163,19911220,"2,306","1,352",1,1,"144,266",270,"157,801","299,390","119,756","50,039",0,0,0,"128,177","16,089",34,"9,276","126,819",844,514,"4,150","6,169","3,978","16,480","9,137","9,718","5,637","4,978","57,052","10,878",0,"309,613,000"
2017,대구,남구,대구시,대구광역시립남부도서관,대구광역시 남구 앞산순환로 512 (대명동),053-231-2301,19951208,"18,082","7,533",1,1,"343,767","1,388","513,537","421,082","173,041","17,965",0,0,0,"305,758","38,009",39,"16,241","301,452","2,475","1,831","10,193","16,307","13,265","45,534","14,954","20,105","14,712","11,657","135,506","23,525",0,"584,373,000"
2017,대구,동구,대구시,대구광역시립동부도서관,대구광역시 동구 신암북로11길 54 (신암동),053-231-2200,19950922,"5,048","7,396",1,1,"289,017","1,616","766,388","499,151","187,227","1,150",0,0,0,"281,545","7,472",51,"15,814","276,228","1,238","4,079","8,151","17,409","9,953","38,370","17,240","18,629","13,452","12,215","120,344","25,782",0,"555,690,000"
2017,대구,서구,대구시,대구광역시립서부도서관,대구광역시 서구 국채보상로49길 12 (평리동),053-231-2400,19921223,"8,521","7,137",1,1,"290,673","1,439","981,364","688,655","266,571","31,560",0,0,0,"280,387","10,286",43,"17,313","273,240","2,738","4,409","12,016","13,044","8,407","34,961","17,801","19,179","13,537","13,108","125,916","22,418",0,"601,391,000"
2017,대구,중구,대구시,대구광역시립대봉도서관,대구광역시 중구 대봉로 210 . 대봉도서관 (대봉동),053-231-2877,19710505,"7,960","5,277",5,1,"227,359",798,"641,794","732,366","291,444",0,0,0,0,"219,084","8,275",46,"17,445","215,135","2,328","1,621","8,414","11,492","7,646","34,668","12,563","15,940","10,190","9,556","90,023","18,592",0,"684,416,000"
2017,대구,북구,대구시,대구광역시립북부도서관,대구광역시 북구 옥산로 75 (침산동),053-231-2600,19831124,"6,598","4,600",1,1,"266,682",912,"611,446","634,161","269,371","11,605",0,0,0,"247,146","19,536",64,"4,694","240,924","2,115","4,107","10,353","11,953","7,330","35,662","14,877","22,458","13,088","10,407","98,155","22,863",0,"1,151,155,000"
2017,대구,달서구,대구시,대구광역시립두류도서관,대구광역시 달서구 공원순환로 8 (두류동. 두류도서관),053-231-2700,19810804,"8,212","3,461",1,1,"256,264",727,"616,758","615,752","239,371","23,531",0,0,0,"239,534","16,730",56,"13,598","235,482","2,085","1,967","9,539","11,998","8,273","34,390","11,834","16,767","12,336","9,087","95,013","30,297",0,"528,657,000"
2017,대구,중구,대구시,대구광역시립중앙도서관,대구광역시 중구 공평로10길 25 (동인동2가) 대구광역시립중앙도서관,053-231-2000,19190810,"10,260","10,181",1,1,"542,284","1,298","1,569,488","598,610","319,606",0,0,0,0,"448,367","93,917",97,"108,432","412,736","21,079","14,552","27,892","25,698","13,733","91,699","19,763","46,259","24,472","20,925","136,355","41,571",0,"1,994,351,000"
2017,인천,계양구,인천시,인천광역시계양도서관,인천광역시 계양구 계양산로134번길 18 (계산동. 인천광역시계양도서관),032-540-4400,20040325,"5,500","6,059",1,1,"234,978","1,413","1,000,671","787,732","307,544","3,960",0,0,0,"209,103","25,875",486,"7,405","205,462",617,"3,024","11,525","10,623","7,246","35,838","14,916","15,721","9,557","11,917","73,664","18,096",0,"1,121,783,000"
2017,인천,남구,인천시,인천광역시주안도서관,인천광역시 남구 구월남로 27 . 인천주안도서관 (주안동),032-450-9100,19900206,"6,611","4,996",1,2,"297,044","1,215","701,775","547,378","199,125","5,868",0,0,0,"276,996","20,048",99,"4,933","273,110","1,465","2,421","13,209","13,423","8,543","49,854","19,871","21,491","13,894","12,231","99,235","25,245",0,"962,292,000"
2017,인천,남동구,인천시,인천광역시중앙도서관,인천광역시 남동구 정각로 9 . 인천광역시중앙도서관 (구월동),032-627-8385,19830930,"11,055","5,506",1,1,"318,235",726,"679,323","643,502","205,780","7,060",0,0,0,"297,949","20,286",105,44,"287,857","8,777","1,315","11,429","14,586","10,153","52,371","17,442","20,584","13,371","11,954","119,577","26,482",0,"1,063,123,000"
2017,인천,부평구,인천시,인천광역시부평도서관,인천광역시 부평구 경원대로 1191  부평도서관 (십정동),032-510-7300,19820518,"5,663","3,374",2,2,"266,118","1,132","661,051","475,009","232,686","8,900",1,"7,395","19,128","249,060","17,058",100,"14,889","247,331",772,957,"11,809","12,998","8,019","40,159","15,909","19,514","11,686","10,446","96,164","22,356",0,"833,195,000"
2017,인천,동구,인천시,인천광역시화도진도서관,인천광역시 동구 화도진로 122 화도진도서관 (화수동),032-760-4100,19880809,"2,012","3,605",1,1,"221,063",348,"441,153","389,230","118,108","3,200",0,0,0,"198,221","22,842",427,"1,879","198,221",0,0,"10,368","9,281","5,167","36,507","12,457","14,317","13,929","8,849","66,708","20,638",0,"886,478,000"
2017,인천,서구,인천시,인천광역시서구도서관,인천광역시 서구 건지로334번길 45 서구도서관 (가좌동),032-585-7100,19910909,"6,609","3,284",1,1,"283,804",856,"474,751","304,721","189,530","10,100",1,"8,550","28,270","269,806","13,998",91,"13,910","268,807",0,999,"10,796","11,912","7,484","40,086","15,635","16,236","18,328","15,754","110,501","23,074",0,"851,024,000"
2017,인천,연수구,인천시,인천광역시연수도서관,인천광역시 연수구 함박뫼로152번길 96 (연수동),032-899-7550,20040331,"6,354","5,344",1,1,"249,938","1,276","826,237","721,292","302,934","4,620",0,0,0,"222,351","27,587",214,"12,341","218,619",939,"2,793","13,709","10,500","6,083","37,537","15,169","16,124","9,528","10,667","84,379","18,655",0,"997,778,000"
2017,인천,부평구,인천시,인천광역시북구도서관,인천광역시 부평구 신트리로 21 (부평동),032-363-5052,19910926,"9,362","8,098",2,1,"307,150","1,824","1,237,306","865,360","329,470",647,0,0,0,"286,593","20,557",150,"4,182","274,800","3,140","8,653","12,402","13,771","9,710","50,230","20,586","19,050","13,623","11,930","107,441","27,850",0,"1,496,086,000"
2017,광주,광산구,광주시,광주송정도서관,광주광역시 광산구 송정공원로 8-13 . 광주송정도서관 (소촌동),062-940-8900,19900410,"3,360","3,310",1,0,"188,428",783,"175,536","244,659","97,928","8,890",0,0,0,"187,747",681,35,"1,111","185,994",967,786,"6,038","10,235","7,888","27,886","11,129","15,847","8,742","7,766","78,066","14,150",0,"554,869,000"
2017,광주,동구,광주시,광주중앙도서관,광주광역시 동구 장동로 23-16 . 광주중앙도서관 (동명동),062-607-1300,19900910,"7,850","6,179",3,1,"256,470","1,048","541,087","627,394","152,560","11,510",0,0,0,"247,274","9,196",574,"9,511","241,102","1,556","4,616","10,720","13,183","9,311","39,317","12,527","33,266","15,479","11,180","82,742","19,549",0,"721,907,000"
2017,울산,울주군,울산시,울주도서관,울산광역시 울주군 언양읍 언양로 109 (언양읍),052-255-8131,19911011,"9,865","2,171",2,1,"227,513",653,"242,728","268,333","86,441",571,0,0,0,"211,488","16,025",319,"8,448","208,904",299,"2,285","7,606","10,524","5,224","34,591","15,259","14,813","8,977","6,316","88,858","19,320",0,"576,001,000"
2017,울산,동구,울산시,울산동부도서관,울산광역시 동구 봉수로 505 . 울산동부도서관 (서부동),052-241-2300,19911107,"14,076","3,375",1,1,"285,164","1,002","343,107","726,669","208,432","8,580",0,0,0,"245,136","40,028",364,"9,697","240,580","1,272","3,284","9,139","12,092","6,640","42,576","16,696","19,830","11,738","8,115","97,498","20,812",0,"566,922,000"
2017,울산,중구,울산시,울산중부도서관,울산광역시 중구 도서관길 60 (북정동) 울산중부도서관,052-210-6506,19840803,"2,653","16,678",2,0,"343,297","2,014","413,866","631,770","244,291","2,115",0,0,0,"301,667","41,630",450,"11,969","295,538","1,832","4,297","13,965","14,655","8,431","53,124","19,393","23,411","13,753","8,927","116,044","29,964",0,"1,190,585,000"
2017,울산,남구,울산시,울산남부도서관,울산광역시 남구 거마로 13번길 6 울산남부도서관(옥동),052-259-7500,19890329,"3,259","14,807",1,1,"321,104",390,"921,018","1,308,245","299,899",901,1,0,0,"297,958","23,146",492,"6,366","290,434","1,886","5,638","12,330","14,804","8,418","51,425","19,287","20,373","13,411","9,765","121,312","26,833",0,"874,019,000"
2017,경기,평택시,경기,경기도립중앙도서관 경기도립평택도서관,경기도 평택시 서정북로125번길 103 (서정동.경기도립중앙도서관 평택분관),031-662-8753,19861105,"2,940","1,497",1,1,"137,419",500,"221,728","198,786","62,586","2,703",0,0,0,"129,196","8,223",418,"3,492","125,248",89,"3,859","6,329","6,729","3,777","23,219","6,775","8,930","6,592","4,972","51,070","10,803",0,"362,774,000"
2017,경기,여주시,경기,경기도립중앙도서관 경기여주가남교육도서관,경기도 여주시 가남읍 태평2길 28-7 (가남읍),031-881-0295,19720518,"1,841","1,494",1,1,"80,566",236,"14,259","14,294","8,208",0,0,0,0,"78,659","1,907",68,"4,454","77,572",0,"1,087","3,532","4,583","2,013","11,714","5,107","5,684","3,258","3,408","32,880","6,480",0,"332,902,000"
2017,경기,김포시,경기,경기도립중앙도서관 경기도립김포도서관,경기도 김포시 봉화로 68 . 경기도립김포도서관 (사우동),031-984-3536,19851109,560,"1,139",1,1,"117,028",218,"122,595","88,049","55,971",0,0,0,0,"108,087","8,941",176,"3,269","106,032",0,"2,055","4,429","4,862","3,314","16,610","7,529","7,248","5,237","4,837","42,401","9,565","2,055","256,394,000"
2017,경기,광주시,경기,경기도립중앙도서관 경기도립광주도서관,경기도 광주시 경안안길58번길 3 . 광주도서관 (경안동),031-768-6924,19900910,690,"1,196",1,0,"122,701",277,"198,763","121,422","40,234",0,0,0,0,"115,256","7,445",355,0,"113,259",0,"1,997","7,325","6,297","4,127","17,476","6,947","8,960","5,157","5,881","43,332","9,754",0,"221,521,000"
2017,경기,수원시,경기,경기도립중앙도서관,경기도 수원시 장안구 조원로 18 . 경기도립중앙도서관 (조원동),031-240-4010,19700701,"2,216","2,360",3,1,"247,481",376,"525,815","301,617","217,858","40,748",2,"14,965","31,890","204,242","43,239",424,"8,255","196,980","1,031","6,231","8,797","10,819","5,627","33,859","15,857","15,721","10,530","13,053","72,481","17,498",0,"795,341,000"
2017,경기,포천시,경기,경기도립중앙도서관 경기도립포천도서관,경기도 포천시 중앙로 92-6 . 경기도립포천도서관 (신읍동),031-531-8750,19890721,"1,662","1,395",1,1,"125,394",245,"178,441","83,232","33,410","2,008",0,0,0,"120,675","4,719",296,0,"118,551",0,"2,124","5,681","5,775","4,130","20,531","8,428","8,408","6,178","6,156","44,887","10,501",0,"238,818,000"
2017,경기,성남시,경기,경기도립성남도서관,경기도 성남시 수정구 공원로370번길 26 (신흥동.성남도서관),031-730-3500,19830705,"6,633","3,897",1,1,"321,107","1,010","929,378","619,434","480,721","311,900",1,"12,975","24,994","292,695","28,412",373,"2,123","284,716",0,"7,979","13,907","13,775","8,862","46,885","19,017","19,690","12,672","13,455","119,265","25,167",0,"928,513,000"
2017,경기,화성시,경기,경기도립발안도서관,경기도 화성시 향남읍 발안로 85-10 (향남읍.발안도서관),031-369-5700,20060728,"4,552","2,372",1,1,"114,232",60,"390,053","438,650","141,184","65,818",0,0,0,"108,267","5,965",209,"5,451","103,058",372,"4,837","4,253","5,377","3,336","16,598","7,866","7,687","4,982","5,357","43,326","9,485",0,"538,846,000"
2017,경기,과천시,경기,경기도립과천도서관,경기도 과천시 도서관길 36 (별양동),02-3677-0371,19840224,"2,574","5,586",1,1,"305,987",973,"996,770","2,163,220","208,027","91,087",1,"7,342","11,445","283,296","22,691",135,"9,327","267,041",0,"16,255","13,007","13,582","9,159","57,003","18,028","20,719","13,613","11,784","103,003","23,398",0,"1,206,216,000"
2017,경기,수원시,경기,경기평생교육학습관,경기도 수원시 권선구 권중로 55 (권선동),031-259-1028,20080121,"4,958","14,900",1,1,"696,596","1,154","864,483","780,700","264,764",0,0,0,0,"685,237","11,359",437,"11,643","675,697",100,"9,440","44,919","31,860","23,799","139,262","39,651","70,192","31,984","26,730","222,104","54,736",0,"2,019,727,000"
2017,경기,의정부시,경기,경기도립녹양도서관,경기도 의정부시 체육로 265-25 경기도립녹양도서관,031-836-9502,20061010,"3,390","2,092",1,0,"125,933",510,"131,561","145,107","72,380",0,0,0,0,"119,163","6,770",244,0,"113,244",0,"5,919","5,201","5,753","3,203","18,155","9,061","7,470","5,400","6,090","47,615","11,215",0,"347,983,000"
2017,강원,속초시,강원,속초교육도서관,강원도 속초시 번영로 15 . 속초교육도서관 (교동),033-636-1495,19860517,"2,733","1,588",1,1,"102,275",170,"79,284","102,255","41,239","1,670",0,0,0,"93,846","8,429",42,"4,211","93,846",0,0,"3,232","3,798","2,386","13,599","6,687","4,932","3,599","3,001","44,907","7,705",0,"198,860,000"
2017,강원,원주시,강원,문막교육도서관,강원도 원주시 문막읍 문막시장1길 76-6 . 문막교육도서관 (문막읍),033-735-3682,19910926,859,"7,973",1,1,"90,340",120,"75,746","86,256","35,812","1,776",0,0,0,"87,475","2,865",29,"4,176","87,475",0,0,"2,707","4,210","2,158","11,694","6,334","5,489","4,009","3,585","40,078","7,211",0,"158,779,000"
2017,강원,강릉시,강원,명주교육도서관,강원도 강릉시 주문진읍 해안3길 11 명주교육도서관 (주문진읍),033-662-8559,19690526,609,"1,604",1,1,"110,406",400,"101,816","65,648","32,824","2,089",0,0,0,"104,475","5,931",264,"4,862","104,475",0,0,"3,794","5,327","2,376","17,509","6,913","6,896","5,129","3,621","44,269","8,641",0,"137,329,000"
2017,강원,동해시,강원,동해교육도서관,강원도 동해시 부곡5길 22  동해교육도서관 (부곡동),033-533-4438,19860417,"15,124","2,904",1,2,"113,784",600,"287,611","330,911","89,363",439,0,0,0,"109,105","4,679",268,"3,235","109,105",0,0,"3,761","4,734","2,074","15,780","7,344","5,270","4,648","4,054","52,787","8,653",0,"190,780,000"
2017,강원,고성군,강원,고성교육도서관,강원도 고성군 거진읍 거탄진로29번길 7 . 고성교육도서관 (거진읍),033-682-4886,19910221,"1,481",708,1,1,"72,897",66,"37,216","36,679","13,917","1,384",0,0,0,"68,551","4,346",183,"3,369","68,551",0,0,"2,132","3,293","1,474","9,353","4,886","4,812","3,944","2,287","29,802","6,568",0,"154,844,000"
2017,강원,삼척시,강원,삼척교육문화관,강원도 삼척시 진주로 48-41 . 삼척교육문화관 (당저동),033-570-5503,19920114,"5,002","11,940",3,1,"162,202",191,"479,796","320,679","117,125","2,557",0,0,0,"155,490","6,712",69,"10,524","153,283","1,338",869,"6,014","7,859","4,245","24,044","10,160","11,411","7,520","7,965","62,601","13,671",0,"433,638,000"
2017,강원,속초시,강원,속초교육문화관,강원도 속초시 번영로 82 . 속초교육문화관 (금호동),033-630-0204,19871204,"7,642","3,138",4,1,"162,775",259,"355,610","325,411","311,339",0,0,0,0,"147,715","15,060",87,"7,338","144,642","1,231","1,842","5,852","7,395","3,945","25,375","9,111","10,999","8,075","4,860","58,968","13,135",0,"528,671,000"
